lon,lat,global_cluster
121.4666,31.2208,-1
121.4681,31.2211,-1
121.4695,31.2216,-1
121.47,31.2216,-1
121.4695,31.2215,-1
121.4695,31.2218,-1
121.4691,31.223,-1
121.4683,31.222,-1
121.4688,31.2213,-1
121.4695,31.2215,-1
121.4695,31.2215,-1
121.4695,31.2215,-1
121.4693,31.2228,-1
121.469,31.2246,-1
121.4696,31.2243,-1
121.4705,31.2251,-1
121.4703,31.2263,-1
121.4715,31.2268,-1
121.4726,31.2273,-1
121.4743,31.2281,-1
121.4748,31.229,-1
121.4743,31.23,-1
121.4736,31.231,-1
121.473,31.2316,-1
121.4733,31.2325,-1
121.4743,31.233,-1
121.4755,31.234,-1
121.4771,31.2341,-1
121.4783,31.2343,-1
121.4795,31.2346,-1
121.4806,31.2345,-1
121.482,31.2348,-1
121.4833,31.235,-1
121.4828,31.236,-1
121.4826,31.2371,-1
121.4823,31.2381,-1
121.4823,31.2385,-1
121.4823,31.2391,-1
121.4816,31.2411,-1
121.482,31.24,-1
121.4801,31.2405,-1
121.4793,31.2415,-1
121.4781,31.2423,-1
121.476,31.2413,-1
121.4736,31.2408,-1
121.4723,31.2405,-1
121.471,31.2401,-1
121.4693,31.2396,-1
121.4686,31.2405,-1
121.4696,31.2408,-1
121.4708,31.2413,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4706,31.242,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.4706,31.2413,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.471,31.2416,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4711,31.2416,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2415,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.4708,31.2413,-1
121.472,31.2413,-1
121.4721,31.2403,-1
121.4706,31.24,-1
121.469,31.2395,-1
121.4691,31.2381,-1
121.47,31.2363,-1
121.471,31.2346,-1
121.4721,31.2328,-1
121.4733,31.231,-1
121.4745,31.2293,-1
121.4753,31.228,-1
121.4753,31.2271,-1
121.475,31.227,-1
121.4716,31.2258,-1
121.4708,31.2255,-1
121.4671,31.224,-1
121.4668,31.2205,-1
121.4683,31.2108,-1
121.47,31.2068,-1
121.47,31.2068,-1
121.4698,31.2008,-1
121.4698,31.2008,-1
121.4686,31.2005,-1
121.4676,31.2001,-1
121.467,31.2016,-1
121.467,31.204,-1
121.4691,31.2045,-1
121.4706,31.2045,-1
121.4711,31.2028,-1
121.4718,31.201,-1
121.4711,31.203,-1
121.4705,31.2053,-1
121.47,31.2066,-1
121.4695,31.208,-1
121.4685,31.2106,-1
121.469,31.21,-1
121.4691,31.2101,-1
121.4686,31.2111,-1
121.4675,31.213,-1
121.4663,31.2148,-1
121.4663,31.2156,-1
121.469,31.216,-1
121.4706,31.2163,-1
121.4701,31.2191,-1
121.47,31.2201,-1
121.4698,31.221,-1
121.4698,31.2208,-1
121.4698,31.221,-1
121.4696,31.2205,-1
121.4696,31.2206,-1
121.4711,31.2211,-1
121.472,31.226,-1
121.475,31.2288,-1
121.4773,31.2321,-1
121.4846,31.2326,-1
121.4846,31.2326,-1
121.4846,31.2326,-1
121.5088,31.2406,-1
121.5151,31.2423,-1
121.5246,31.2426,-1
121.5273,31.2435,-1
121.5336,31.2453,-1
121.5388,31.2446,-1
121.5396,31.2436,-1
121.5396,31.2436,-1
121.539,31.2443,-1
121.5388,31.2446,-1
121.5435,31.2396,-1
121.545,31.2368,-1
121.5416,31.2343,-1
121.5413,31.2338,-1
121.5413,31.2338,-1
121.5413,31.2338,-1
121.542,31.2338,-1
121.5415,31.2348,-1
121.539,31.2345,-1
121.5376,31.234,-1
121.5358,31.2333,-1
121.534,31.2323,-1
121.532,31.2311,-1
121.5301,31.2305,-1
121.5281,31.2298,-1
121.5265,31.2293,-1
121.5261,31.2293,-1
121.5251,31.2295,-1
121.5238,31.2305,-1
121.5223,31.2313,-1
121.522,31.2313,-1
121.5233,31.2306,-1
121.524,31.23,-1
121.525,31.2293,-1
121.5243,31.2298,-1
121.5233,31.2308,-1
121.5216,31.2315,-1
121.5213,31.2316,-1
121.5203,31.232,-1
121.5181,31.2328,-1
121.5165,31.2333,-1
121.5153,31.2338,-1
121.5133,31.2345,-1
121.5121,31.2348,-1
121.5101,31.2356,-1
121.509,31.2358,-1
121.508,31.2361,-1
121.5056,31.237,-1
121.505,31.2373,-1
121.5043,31.2375,-1
121.4965,31.2403,-1
121.4948,31.2411,-1
121.4948,31.2411,-1
121.4948,31.2411,-1
121.4766,31.2246,-1
121.4771,31.2226,-1
121.4788,31.2195,-1
121.4768,31.216,-1
121.477,31.214,-1
121.477,31.214,-1
121.4768,31.2148,-1
121.4765,31.2158,-1
121.4763,31.2168,-1
121.4761,31.2178,-1
121.4751,31.2196,-1
121.474,31.2195,-1
121.4728,31.219,-1
121.4718,31.2188,-1
121.4705,31.2185,-1
121.4701,31.2195,-1
121.47,31.2203,-1
121.4698,31.2208,-1
121.469,31.2236,-1
121.4683,31.225,-1
121.4791,31.1841,-1
121.4733,31.1746,-1
121.4778,31.163,-1
121.4818,31.1521,-1
121.4845,31.1465,-1
121.4905,31.1471,-1
121.4928,31.1415,-1
121.4976,31.142,-1
121.5063,31.1448,-1
121.5093,31.1403,-1
121.5171,31.1438,-1
121.5186,31.1466,-1
121.5201,31.1458,-1
121.5201,31.1458,-1
121.5201,31.1458,-1
121.519,31.1455,-1
121.518,31.1451,-1
121.518,31.1448,-1
121.5178,31.145,-1
121.5176,31.1451,-1
121.5176,31.1451,-1
121.5185,31.1455,-1
121.5185,31.147,-1
121.5178,31.1476,-1
121.517,31.1478,-1
121.518,31.1483,-1
121.5191,31.1486,-1
121.5203,31.149,-1
121.5216,31.1493,-1
121.5228,31.1495,-1
121.5236,31.1481,-1
121.525,31.1461,-1
121.5245,31.1456,-1
121.5235,31.1455,-1
121.5225,31.1451,-1
121.5198,31.1445,-1
121.5168,31.1436,-1
121.5138,31.1421,-1
121.5106,31.1408,-1
121.5091,31.1408,-1
121.5066,31.1445,-1
121.5061,31.1453,-1
121.5046,31.1471,-1
121.5035,31.1486,-1
121.5028,31.1493,-1
121.5016,31.1515,-1
121.5003,31.1535,-1
121.4981,31.1551,-1
121.497,31.1568,-1
121.4958,31.1586,-1
121.495,31.1595,-1
121.4936,31.1616,-1
121.4928,31.164,-1
121.4923,31.1643,-1
121.4905,31.1633,-1
121.4895,31.1626,-1
121.4861,31.1611,-1
121.4808,31.1588,-1
121.4798,31.1585,-1
121.4791,31.1598,-1
121.4785,31.1616,-1
121.4776,31.1635,-1
121.4766,31.1663,-1
121.4755,31.169,-1
121.4745,31.1715,-1
121.4735,31.1741,-1
121.4748,31.1768,-1
121.4776,31.1781,-1
121.4798,31.1798,-1
121.48,31.1823,-1
121.479,31.1846,-1
121.4781,31.1866,-1
121.4773,31.189,-1
121.4763,31.1916,-1
121.4751,31.1946,-1
121.4736,31.1976,-1
121.4723,31.2005,-1
121.4711,31.2035,-1
121.4701,31.2063,-1
121.4683,31.2111,-1
121.467,31.2135,-1
121.466,31.2153,-1
121.4661,31.217,-1
121.4673,31.2215,-1
121.4668,31.2236,-1
121.4655,31.2255,-1
121.4636,31.227,-1
121.4625,31.2315,-1
121.4623,31.2338,-1
121.4616,31.2365,-1
121.4601,31.239,-1
121.4591,31.2413,-1
121.4581,31.2438,-1
121.4578,31.2465,-1
121.4583,31.2488,-1
121.4588,31.2506,-1
121.4591,31.2526,-1
121.4595,31.254,-1
121.4615,31.2543,-1
121.4638,31.2548,-1
121.4641,31.256,-1
121.464,31.2566,-1
121.464,31.2566,-1
121.464,31.2566,-1
121.464,31.2566,-1
121.464,31.2566,-1
121.464,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4641,31.2566,-1
121.4648,31.2571,-1
121.465,31.2568,-1
121.465,31.2568,-1
121.465,31.2568,-1
121.465,31.2568,-1
121.4658,31.256,-1
121.4668,31.2561,-1
121.4676,31.2566,-1
121.4685,31.2575,-1
121.4693,31.2568,-1
